url,collection_number,title,creator,date_range,extent,language_of_materials,repository,sponsor,abstract,physical_description,total_elements,total_items,total_digitised_items,total_searchable
http://nla.gov.au/nla.obj-243253818/findingaid,MS 6938,'Sometimes the pilot wears a skirt' Collection,Margaret Kentley,1920-1970,0.15 metres (1 ms box),English,National Library of Australia,,,,66,66,0,1
http://nla.gov.au/nla.obj-280011976/findingaid,MS 1139,19th century currency items,,c1868-1895,0.03 metres (1 folder),English,National LIbrary of Australia,The digitisation of the Library’s Currency Collection was made possible by the generous financial support of donors to the Banknotes and Currency Preservation Appeal (2015). The Library gratefully acknowledges this support.,,,20,20,18,1
http://nla.gov.au/nla.obj-3094094424/findingaid,MS 725,A proclamation prohibiting Chinese persons from prospecting for gold,Victoria Mines Department,1 March 1902,1.13 metres (1 folder + 1 map folio),English,Special Collections (Manuscripts),,,,2,2,2,1
http://nla.gov.au/nla.obj-3123472501/findingaid,EPH GEN.Aboriginal Australians and Torres Strait Islanders.Culture,Aboriginal Australians and Torres Strait Islanders - Culture : ephemera material collected by the National Library of Australia,,Various dates,1 collection,English,Printed Collections,,,"Brochures, flyers, information booklets",7,6,0,7
http://nla.gov.au/nla.obj-1126164690/findingaid,M604,"Address of Sir Everard Home, 1st Baronet Home (as filmed by the AJCP)","Home, Everard, Sir",1822 - 1825,1 item,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1,1,1,2
http://nla.gov.au/nla.obj-3117636349/findingaid,EPH PROMPT.Adelaide Festival,Adelaide Festival : programs and related material collected by the National Library of Australia,,undated,1 collection,English,Printed Collections,,,Folders of programs and miscellaneous pieces.,4,3,0,5
http://nla.gov.au/nla.obj-3115634294/findingaid,EPH PROMPT.Adelaide Fringe Festival,Adelaide Fringe Festival : programs and related material collected by the National Library of Australia,,Various,1 collection,English,Printed Collections,,,Programs and miscellaneous pieces.,3,2,0,4
http://nla.gov.au/nla.obj-3115496938/findingaid,EPH PROMPT.Adelaide International Guitar Festival,Adelaide International Guitar Festival : programs and related material collected by the National Library of Australia,,2007 - 14 August 2016,1 collection,English,Printed Collections,,,Programs and miscellaneous pieces,5,4,0,6
http://nla.gov.au/nla.obj-3129208973/findingaid,EPH GEN.Agriculture (NSW),Agriculture (NSW) : ephemera material collected by the National Library of Australia,,1871,1 collection,English,Printed Collections,,,"Poster, miscellaneous pieces.",3,2,0,4
http://nla.gov.au/nla.obj-251886516/findingaid,MS 4246,Album of Manuscripts of Australasian and Pacific Interest collected by Rex Nan Kivell,Rex Nan Kivell,1722-1961,0.12 metres (1 volume),English,National Library of Australia,,,,292,292,11,1
